_id,School,subschool,descriptors,Brd,Clr,Drd,Pal,Rgr,Wiz,Spell Name,Effect,Comp,Time,Range,Duration,Save,SR,Full,gp,xp
,,,,,1,,,,,Doom,"One subject suffers -2 on attacks, damage, saves, and checks.",vsd,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,Will negates,Yes,,,
,,,,5,,,,,5,Dream,Sends message to anyone sleeping.,vs,1 minute,Unlimited,See text,None,Yes,,,
,Conj,,,,,,,,4,E.'s Black Tentacles,1d4 +1/level tentacles grapple randomly within 15 ft.,vsm,1 action,Medium (100 ft. + 10 ft./level),1 hour/level,None,No,,,
,,,,,8,9,,,,Earthquake,Intense tremor shakes 5-ft./level radius.,vsd,1 action,Long (400 ft. + 40 ft./level),1 round,See text,No,,,
,,,,,,9,,,,Elemental Swarm,"Summons 2d4 Large, 1d4 Huge elementals.",vs,10 minutes,Medium (100 ft. + 10 ft./level),10 minutes/level,None,No,,,
,,,,3,,,,,4,Emotion,Arouses strong emotion in subject.,vs,1 action,Medium (100 ft. + 10 ft./level),Concentration,Will negates,Yes,,,
,,,,,2,,,,2,Endurance,Gain 1d4+1 Con for 1 hr./level.,vsd,1 action,Touch,1 hour/level,None,Yes,,,
,,,,,1,1,1,,1,Endure Elements,Ignores 5 damage/round from one energy type.,vs,1 action,Touch,24 hours,None,Yes,,,
,,,,,9,,,,9,Energy Drain,Subject gains 2d4 negative levels.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Fortitude negates,Yes,,,
,,,,,,,,,4,Enervation,Subject gains 1d4 negative levels.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,Yes,,,
,,,,,,,,,1,Enlarge,Object or creature grows +10%/level (max +50%).,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,Fortitude negates,Yes,,,
,,,,,,1,,1,,Entangle,Plants entangle everyone in 40-ft.-radius circle.,vsd,1 action,Long (400 ft. + 40 ft./level),1 minute/level,Reflex,No,,,
,,,,2,2,,,,,Enthrall,Captivates all within 100 ft. + 10 ft./level.,vs,1 full round,Medium (100 ft. + 10 ft./level),Up to 1 hour,Will negates,Yes,,,
,,,,,1,,,,,Entropic Shield,Ranged attacks against you suffer 20% miss chance.,vs,1 action,Personal,1 minute/level,--,--,,,
,,,,1,,,,,1,Erase,Mundane or magical writing vanishes.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,See text,No,,,
,,,,,5,,,,7,Ethereal Jaunt,You become ethereal for 1 round/level.,vs,1 action,Personal,1 round/level,--,--,,,
,,,,,6,,,,8,Etherealness,Travel to Ethereal Plane with companions.,vs,1 action,Touch,1 minute/level,--,Yes,,,
,,,,1,,,,,1,Expeditious Retreat,Doubles your speed.,vs,1 action,Personal,1 minute/level,--,--,,,
,,,,,,,,,3,Explosive Runes,Deals 6d6 damage when read.,vs,1 action,Touch,Until discharged,See text,Yes,,,
,,,,6,,,,,6,Eyebite,"Charm, fear, sicken or sleep one subject.",vs,1 action,Close (25 ft. + 5 ft./2 levels),1 round/three levels,See text,Yes,,,
,,,,,,,,,5,Fabricate,Transforms raw materials into finished items.,vsm,See text,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,,,,,,1,,,,Faerie Fire,"Outlines subjects with light, canceling blur, concealment, etc.",vsd,1 action,Long (400 ft. + 40 ft./level),1 minute/level,None,Yes,,,
,,,,5,,,,,5,False Vision,Fools scrying with an illusion.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,None,No,,,
,,,,3,,,,,4,Fear,Subjects within cone flee for 1 round/level.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,Will negates,Yes,,,
,,,,1,,,,,1,Feather Fall,Objects or creatures fall slowly.,v,See text,Close (25 ft. + 5 ft./2 levels),Until landing or 1 round/level,Will negates,Yes,,,
,,,,,,,,,5,Feeblemind,Subject's Int drops to 1.,vsm,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Will negates,Yes,,,
,,,,,6,6,,,,Find the Path,Shows most direct way to a location.,vsf,3 rounds,Personal or touch,10 minutes/level,None or Will negates,Y/N,,,
,,,,,2,,,,,Find Traps,Notice traps as a rogue does.,vs,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,--,--,,,
,,,,,,8,,,7,Finger of Death,Kills one subject.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Fortitude partial,Yes,,,
,,,,,,6,,,,Fire Seeds,Acorns and berries become grenades and bombs.,vsm,1 action/seed,Touch,10 minutes/level or until used,Reflex half,Yes,,,
,,,,,,,,,4,Fire Shield,Creatures attacking you take fire damage; you're protected from heat or cold.,vsmd,1 action,Personal,1 round/level,None,--,,,
,,,,,8,7,,,,Fire Storm,Deals 1d6 fire damage/level.,vs,1 full round,Medium (100 ft. + 10 ft./level),Instantaneous,Reflex half,Yes,,,
,,,,,,2,,,4,Fire Trap,Opened object deals 1d4 +1/level damage.,vsm,10 minutes,Touch,Permanent until discharged,Reflex half,Yes,,,
,,,,,,,,,3,Fireball,"1d6 damage per level, 20-ft. radius.",vsm,1 action,Long (400 ft. + 40 ft./level),Instantaneous,Reflex half,Yes,,,
,Conj,,,,,,,,3,Flame Arrow,Shoots flaming projectiles (extra damage) or fiery bolts (4d6 damage).,vsm,1 action,Medium (100 ft. + 10 ft./level),1 round/Instantaneous,See text,Yes,,,
,,,,,,2,,,,Flame Blade,Touch attack deals 1d8 +1/two levels damage.,vsd,1 action,Touch,1 minute/level,None,Yes,,,
,,,,,5,4,,,,Flame Strike,Smites foes with divine fire (1d6/level).,vsd,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Reflex half,Yes,,,
,,,,,,2,,,2,Flaming Sphere,"Rolling ball of fire, 2d6 damage, lasts 1 round/level.",vsmd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Reflex negates,Yes,,,
,,,,0,,0,,,0,Flare,Dazzles one creature (-1 attack).,v,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Fortitude negates,Yes,,,
,,,,,,,,,6,Flesh to Stone,Turns subject creature into statue.,vsm,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Fortitude negates,Yes,,,
,,,,,,,,,3,Fly,Subject flies at speed of 90.,vsfd,1 action,Touch,10 minutes/level,None,Yes,,,
,Conj,,,,,,,,2,Fog Cloud,Fog obscures vision.,vs,1 action,Medium (100 ft. + 10 ft./level),10 minutes/level,None,No,,,
,,,,,6,,,,,Forbiddance,Denies area to creatures of another alignment.,vsmd,6 rounds,Medium (100 ft. + 10 ft./level),Permanent,See text,Yes,,,
,,,,,,,,,7,Forcecage,Cube of force imprisons all inside.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,No,,,
,,,,,,9,,,9,Foresight,"""Sixth sense"" warns of impending danger.",vsmd,1 action,Personal or touch,10 minutes/level,None or Will negates,Y/N,,,
,,,,,,,,,9,Freedom,Releases creature suffering imprisonment.,vs,1 action,See text,Instantaneous,None,Yes,,,
,,,,,4,4,4,4,,Freedom of Movement,Subject moves normally despite impediments.,vsmd,1 action,Personal or touch,10 minutes/level,None,Y/N,,,
,,,,3,,,,,3,Gaseous Form,Subject becomes insubstantial and can fly slowly.,smd,1 action,Touch,2 minutes/level,None,No,,,
,Conj,,,,9,,,,9,Gate,Connects two planes for travel or summoning.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,No,,,
,,,,6,6,,,,6,Geas/Quest,"As lesser geas, plus it affects any creature.",v,1 action,Close (25 ft. + 5 ft./2 levels),1 day/level or until discharged,None,Yes,,,
,,,,,2,,,,3,Gentle Repose,Preserves one corpse.,vsmd,1 action,Touch,1 day/level,Will negates,Yes,,,
,,,,0,,,,,0,Ghost Sound,Figment sounds.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,Will disbelief,No,,,
,,,,,,,,,2,Ghoul Touch,"Paralyzes one subject, who exudes stench (-2 penalty) nearby.",vsm,1 action,Touch,1d6+2 rounds,Fortitude negates,Yes,,,
,,,,,4,4,,,,Giant Vermin,Turns insects into giant vermin.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),1 minute/level,None,Yes,,,
,Conj,,,2,,,,,2,Glitterdust,"Blinds creatures, outlines invisible creatures.",vsm,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,"A cloud of glittering golden particles covers everyone and everything in the area, blinding creatures and visibly outlining invisible things. Blindness lasts for the duration of the spell. All within the area are covered by the dust, which cannot be removed and continues to sparkle until it fades.

In addition to the obvious effects, a blinded creature suffers a 50% miss chance in combat (all opponents have full concealment), loses any Dexterity bonus to AC, grants a +2 bonus to opponents’ attack rolls (they are effectively invisible), moves at half speed, and suffers a –4 penalty on most Strength- and Dexterity-based skills.",,
,,,,,,,,,6,Globe of Invulnerability,"As minor globe, plus 4th level.",vsm,1 action,10 ft.,1 round/level,None,No,,,
,,,,,3,,,,,Glyph of Warding,Inscription harms those who pass it.,vsm,10 minutes,Touch,Until discharged,See text,Yes,,,
,,,,,,1,,,,Goodberry,2d4 berries each cure 1 hp (max 8 hp/24 hours).,vsd,1 action,Touch,1 day/level,None,Yes,,,
,Conj,,,1,,,,,1,Grease,Makes 10-ft. square or one object slippery.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,See text,No,"A grease spell covers a solid surface with a layer of slippery grease. Any creature entering the area or caught in it when the spell is cast must make a successful Reflex save or slip, skid, and fall. Those that successfully save can move at half speed across the surface. However, those that remain in the area must each make a new saving throw every round to avoid falling and to be able to move. The DM should adjust saving throws by circumstance.

The spell can also be used to create a greasy coating on an item. Material objects not in use are always affected by this spell, while objects wielded or employed by creatures receive a Reflex saving throw to avoid the effect. If the initial saving throw fails, the creature immediately drops the item. A saving throw must be made each round the creature attempts to pick up or use the greased item.",,
,,,,,5,,,,,Greater Command,"As command, but affects one subject/level.",v,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,Will negates,Yes,,,
,,,,5,6,6,,,6,Greater Dispelling,"As dispel magic, but +20 on check.",vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,No,,,
,,,,,6,,,,,Greater Glyph of Warding,"As glyph of warding, but up to 10d8 damage or 6th level spell.",vsm,10 minutes,Touch,Until discharged,See text,Yes,,,
,,,,,,3,,3,,Greater Magic Fang,One natural weapon of subject creature gets +1 bonus to attack and damage per three caster levels (max +5),vsd,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,Yes,,,
,,,,3,4,,3,,3,Greater Magic Weapon,+1/three levels (max +5).,vsmd,1 action,Close (25 ft. + 5 ft./2 levels),1 hour/level,Will negates,Yes,,,
,,,,,8,,,,,Greater Planar Ally,"As lesser planar ally, but up to 24 HD.",vsd,10 minutes,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,Conj,,,,,,,,8,Greater Planar Binding,"As lesser planar binding, but up to 24 HD.",vsm,10 minutes,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,7,,,,,Greater Restoration,"As restoration, plus restores all levels and ability scores",vsx,10 minutes,Touch,Instantaneous,Will negates,Yes,,,
,,,,6,7,7,,,7,Greater Scrying,"As scrying, but faster and longer.",vs,1 action,See text,1 hour/level,None,No,,,
,,,,,,,,,5,Greater Shadow Conjuration,"As shadow conjuration, but up to 4th level and 40% real.",vs,1 action,See text,See text,Will disbelief,No,,,
,,,,,,,,,6,Greater Shadow Evocation,"As shadow evocation, but up to 5th level.",vs,1 action,See text,See text,Will disbelief,Yes,,,
,,,,,,,,,6,Guards and Wards,Array of magic effects protect area.,vsmf,30 minutes,Anywhere within the area to be warded,2 hours/level,None,Text,,,
,,,,,0,0,,,,Guidance,"+1 on one roll, throw, or check.",vs,1 action,Touch,1 minute or until discharged,None,Yes,,,
,,,,3,,,,,3,Gust of Wind,Blows away or knocks down smaller creatures.,vsf,1 action,Medium (100 ft. + 10 ft./level),1 round,Fortitude negates,Yes,,,
,,,,,5,5,,,,Hallow,Designates location as holy.,vsmd,One day,Touch,Instantaneous,None,Text,,,
,,,,4,,,,,4,Hallucinatory Terrain,"Makes one type of terrain appear like another (field into forest, etc.).",vsm,10 minutes,Long (400 ft. + 40 ft./level),2 hours/level,Will disbelief,No,,,
,,,,,,,,,3,Halt Undead,Immobilizes undead for 1 round/level.,vsm,1 action,Medium (100 ft. + 10 ft./level),1 round/level,See text,Yes,,,
,,,,,6,7,,,,Harm,Subject loses all but 1d4 hp.,vs,1 action,Touch,Instantaneous,None,Yes,,,
,,,,3,,,,,3,Haste,Extra partial action and +4 AC.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,Fortitude negates,Yes,"The transmuted creature moves and acts more quickly than normal. This extra speed has several effects.

On its turn, the subject may take an extra partial action, either before or after its regular action.

The subject gains a +4 haste bonus to AC. The subject loses this bonus whenever it would lose a dodge bonus.

The subject can jump one and a half times as far as normal. This increase counts as an enhancement bonus.

Haste dispels and counters slow.",,
,,,,,6,7,,,,Heal,"Cures all damage, diseases, and mental conditions.",vs,1 action,Touch,Instantaneous,None,Yes,,,
,,,,,,,3,,,Heal Mount,As heal on warhorse or other mount.,vs,1 action,Touch,Instantaneous,None,Yes,,,
,,,,5,5,6,,,,Healing Circle,Cures 1d8 +1/level damage in all directions.,vs,1 action,20 ft.,Instantaneous,Fortitude half,Yes,,,
,,,,,,2,,,,Heat Metal,Hot metal damages those who touch it.,vsd,1 action,Close (25 ft. + 5 ft./2 levels),7 rounds,Will negates,Yes,,,
,,,,,3,,,,,Helping Hand,Ghostly hand leads subject to you.,vsd,1 action,Five miles,1 hour/level,None,No,,,
,,,,,6,,,,,Heroes' Feast,Food for one creature/level cures and blesses.,vsd,10 minutes,Close (25 ft. + 5 ft./2 levels),1 hour + 12 hours,None,Yes,,,
,,,,,,2,,2,,Hold Animal,Holds one animal helpless; 1 round/level.,vs,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,,,
,,,,4,,,,,5,Hold Monster,"As hold person, but any creature.",vsmd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,,,
,,,,2,2,,,,3,Hold Person,Holds one person helpless; 1 round/level.,vsfd,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Will negates,Yes,,,
,,,,,,,,,1,Hold Portal,Holds door shut.,v,1 action,Medium (100 ft. + 10 ft./level),1 minute/level,None,No,,,
,,,,,8,,,,,Holy Aura,"+4 AC, +4 resistance, and SR 25 against evil spells.",vsf,1 action,20 ft.,1 round/level,See text,Yes,,,
,,,,,,,,,,Holy Smite,Damages and blinds evil creatures.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Reflex half,Yes,,,
,,,,,,,4,,,Holy Sword,"Weapon becomes +5, does double damage against evil.",vs,1 action,Touch,1 round/level,None,No,,,
,,,,,7,,,,,Holy Word,"Kills, paralyzes, weakens, or dazes nongood subjects.",v,1 action,30 ft.,Instantaneous,None,Yes,,,
,,,,,,,,,8,Horrid Wilting,Deals 1d8 damage/level within 30 ft.,vsmd,1 action,Long (400 ft. + 40 ft./level),Instantaneous,Fortitude half,Yes,,,
,,,,2,,,,,2,Hypnotic Pattern,Fascinates 2d4+1 HD/level of creatures.,vsm,1 action,Medium (100 ft. + 10 ft./level),Concentration + 2 rounds,Will negates,Yes,,,
,,,,1,,,,,1,Hypnotism,Fascinates 2d4 HD of creatures.,vs,1 action,Close (25 ft. + 5 ft./2 levels),2d4 rounds,Will negates,Yes,,,
,,,,,,5,,,4,Ice Storm,Hail deals 5d6 damage in cylinder 40 ft. across.,vsmd,1 action,Long (400 ft. + 40 ft./level),Instantaneous,None,Yes,,,
,,,,1,,,,,1,Identify,Determines single feature of magic item.,vsmd,8 hours,Touch,Instantaneous,None,No,"The spell determines the single most basic function of each magic item, including how to activate that function (if appropriate), and how many charges are left (if any). For a weapon, this will be the “plus” to attack and damage.

If a magic item has multiple different functions that are equally basic, identify determines the lowest-level function. If these functions are also of equal level, the DM decides randomly which is identified.

Arcane Material Components: Worth at least 100 gp value.",100,
,,,,3,,,,,3,Illusory Script,Only intended reader can decipher.,vsm,1 minute or longer,Touch,1 day/level,Will negates,Yes,,,
,,,,,,,,,4,Illusory Wall,"Wall, floor, or ceiling looks real, but anything can pass through.",vs,1 action,Close (25 ft. + 5 ft./2 levels),Permanent,Will disbelief,No,,,
,,,,,4,,,,,Imbue with Spell Ability,Transfer spells to subject.,vsd,10 minutes,Touch,Until discharged,Will negates,Yes,,,
,,,,,9,,,,,Implosion,Kills one creature/round.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Concentration,Fortitude negates,Yes,,,
,,,,,,,,,9,Imprisonment,Entombs subject beneath the earth.,vs,1 action,Touch,Instantaneous,None,Yes,,,
,,,,4,,,,,4,Improved Invisibility,"As invisibility, but subject can attack and stay invisible.",vs,1 action,Personal or touch,1 minute/level,Will negates,Y/N,,,
,Conj,,,,,,,,8,Incendiary Cloud,Cloud deals 4d6 fire damage/round.,vs,1 action,Medium (100 ft. + 10 ft./level),1 round/level,Reflex half,Yes,,,
,,,,,4,,,,,Inflict Critical Wounds,"Touch attack, 4d8 +1/level damage (max +20).",vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,1,,,,,Inflict Light Wounds,"Touch, 1d8 +1/level damage (max +5).",vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,0,,,,,Inflict Minor Wounds,"Touch attack, 1 point of damage.",vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,2,,,,,Inflict Moderate Wounds,"Touch attack, 2d8 +1/level damage (max +10).",vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,3,,,,,Inflict Serious Wounds,"Touch attack, 3d8 +1/level damage (max +15).",vs,1 action,Touch,Instantaneous,Will half,Yes,,,
,,,,,,,,,7,Insanity,Subject suffers continuous confusion.,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Will negates,Yes,,,
,,,,,5,5,,,,Insect Plague,"Insect horde limits vision, inflicts damage, and weak creatures flee.",vsd,1 full round,Long (400 ft. + 40 ft./level),1 minute/level,See text,No,,,
,,,,2,,,,,2,Invisibility,Subject is invisible for 10 min./level or until it attacks.,vsmd,1 action,Personal or touch,10 minutes/level,None or Will negates,Y/N,"The creature or object touched vanishes from sight, even from darkvision. If the recipient is a creature carrying gear, the gear vanishes, too. If the character casts the spell on someone else, neither the character nor the character's allies can see the subject, unless the character can normally see invisible things or employ magic to do so.

Items dropped or put down by an invisible creature become visible; items picked up disappear if tucked into the clothing or pouches worn by the creature. Light, however, never becomes invisible, although a source of light can become so (thus, the effect is that of a light with no visible source). Any part of an item that the subject carries but that extends more than 10 feet from it becomes visible, such as a trailing rope.

The subject is not magically silenced, and certain other conditions can render the recipient detectable (such as stepping in a puddle). The spell ends if the subject attacks any creature. For purposes of this spell, an ""attack"" includes any spell targeting a foe or whose area or effect includes a foe. (Exactly who is a foe depends on the invisible character’s perceptions.) Actions directed at unattended objects do not break the spell. Causing harm indirectly is not an attack. If the subject attacks directly it immediately becomes visible along with all its gear. Note that spells such that specifically affect allies but not foes are not attacks for this purpose, even when they include foes in their area.",,
,,,,,3,,,,,Invisibility Purge,Dispels invisibility within 5 ft./level.,vs,1 action,Personal,1 minute/level,--,--,,,
,,,,3,,,,,3,Invisibility Sphere,Makes everyone within 10 ft. invisible.,vsm,1 action,Personal or touch,10 minutes/level,None or Will negates,Y/N,,,
,,,,,,1,,,,Invisibility to Animals,Animals can't perceive one subject/level.,sd,1 action,Touch,10 minutes/level,None,Yes,,,
,,,,,1,,,,,Invisibility to Undead,Undead can't perceive one subject/level.,vsd,1 action,Touch,10 minutes/level,Will negates,Yes,,,
,,,,,,,,,8,Iron Body,Your body becomes living iron.,vsmd,1 action,Personal,1 minute/level,--,--,,,
,,,,,,6,,,,Ironwood,Magical wood is strong as steel.,vs,1 minute/lb. transformed,Touch,1 day/level,None,No,,,
,,,,,,,,,1,Jump,Subject gets +30 on Jump checks.,vsm,1 action,Touch,1 minute/level,None,Yes,,,
,,,,3,,,,,3,Keen Edge,Doubles normal weapon's threat range.,vs,1 action,Close (25 ft. + 5 ft./2 levels),10 minutes/level,Will negates,Yes,,,
,,,,,,,,,2,Knock,Opens locked or magically sealed door.,v,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,No,,,
,,,,,,0,,,,Know Direction,You discern north.,vs,1 action,Personal,Instantaneous,--,--,,,
,Conj,,,,,,,,5,L.'s Secret Chest,Hides expensive chest on Ethereal Plane; you retrieve it at will.,vsf,10 minutes,See text,60 days or until discharged,None,No,,,
,Conj,,,4,,,,,4,L.'s Secure Shelter,Creates sturdy cottage.,vsmd,10 minutes,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,No,,,
,,,,3,,,,,3,L.'s Tiny Hut,Creates shelter for 10 creatures.,vsm,1 action,20 ft.,2 hours/level,None,No,,,
,,,,,,,,,2,L.'s Trap,Makes item seem trapped.,vsm,1 action,Touch,Permanent,None,No,,,
,,,,4,,,,,6,Legend Lore,"Learn tales about a person, place, or thing.",vsmf,See text,Personal,See text,--,--,,,
,,,,3,,,,,4,Lesser Geas,Commands subject of 7 HD or less.,v,1 action,Close (25 ft. + 5 ft./2 levels),1 day/level or until discharged,Will negates,Yes,,,
,,,,,4,,,,,Lesser Planar Ally,Exchange services with an 8 HD outsider.,vsd,10 minutes,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,No,,,
,Conj,,,,,,,,5,Lesser Planar Binding,Traps outsider until it performs a task.,vs,10 minutes,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,2,2,,,,Lesser Restoration,Dispels magic ability penalty or repairs 1d4 ability damage.,vs,3 rounds,Touch,Instantaneous,Will negates,Yes,,,
,,,,2,,,,,2,Levitate,Subject moves up and down at your direction.,vsf,1 action,Personal or Close (25 ft. + 5 ft./2 levels),10 minutes/level,None,No,,,
,,,,0,0,0,,,0,Light,Object shines like a torch.,vmd,1 action,Touch,10 minutes/level,None,No,,,
,,,,,,,,,3,Lightning Bolt,Electricity deals 1d6 damage/level.,vsm,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,Reflex half,Yes,,,
,,,,,,,,,7,Limited Wish,Alters reality-within spell limits.,vsx,1 action,See text,See text,None,Yes,,,
,,,,,,6,,,,Liveoak,Oak becomes treant guardian.,vs,10 minutes,Touch,1 day/level,None,No,,,
,,,,4,,,,,4,Locate Creature,Indicates direction to familiar creature.,vsm,1 action,Long (400 ft. + 40 ft./level),10 minutes/level,None,No,,,
,,,,2,3,,,,2,Locate Object,Senses direction toward object (specific or type).,vsfd,1 action,Long (400 ft. + 40 ft./level),1 minute/level,None,No,,,
,Conj,,,,,,,,2,M.'s Acid Arrow,Ranged touch attack; 2d4 damage for 1 round + 1 round/three levels.,vsmf,1 action,Long (400 ft. + 40 ft./level),1 round +1 round/three levels,None,Yes,,,
,,,,,,,,,9,M.'s Disjunction,"Dispels magic, disenchants magic items.",v,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,No,,,
,Conj,,,,,,,,5,M.'s Faithful Hound,"Phantom dog can guard, attack.",vsm,1 action,Close (25 ft. + 5 ft./2 levels),"1 hour/caster level or until discharged, then 1 round/caster level",None,No,,,
,,,,,,,,,6,M.'s Lucubration,Recalls spell of 5th level or less. (Wizard only.),vs,1 action,Personal,Instantaneous,--,--,,,
,Conj,,,,,,,,7,M.'s Magnificent Mansion,Door leads to extradimensional mansion.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),2 hours/level,None,No,,,
,,,,,,,,,7,M.'s Sword,Floating magic blade strikes opponents.,vsf,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,None,Yes,,,
,Conj,,,1,,,,,1,Mage Armor,Gives subject +4 armor bonus.,vsf,1 action,Touch,1 hour/level,Will negates,Yes,"An invisible but tangible field of force surrounds the subject of mage armor, providing a +4 armor bonus to AC. Unlike mundane armor, mage armor entails no armor check penalty, arcane spell failure chance, or speed reduction. Since mage armor is made of force, incorporeal creatures can't bypass it the way they do normal armor.",,
,,,,0,,,,,0,Mage Hand,5-pound telekinesis.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Concentration,None,No,,,
,,,,3,3,,,,3,Magic Circle against Chaos,"As protection spells, but 10-ft. radius and 10 min./level.",vsmd,1 action,Touch,10 minutes/level,Will negates,No,,,
,,,,3,3,,3,,3,Magic Circle against Evil,"As protection spells, but 10-ft. radius and 10 min./level.",vsmd,1 action,Touch,10 minutes/level,Will negates,No,,,
,,,,3,3,,,,3,Magic Circle against Good,"As protection spells, but 10-ft. radius and 10 min./level.",vsmd,1 action,Touch,10 minutes/level,Will negates,No,,,
,,,,3,3,,,,3,Magic Circle against Law,"As protection spells, but 10-ft. radius and 10 min./level.",vsmd,1 action,Touch,10 minutes/level,Will negates,No,,,
,,,,,,1,,1,,Magic Fang,One natural weapon of subject creature gets +1 bonus to attack and damage.,vsd,1 action,Touch,1 minute/level,Will negates,Yes,,,
,,,,,,,,,5,Magic Jar,Enables possession of another creature.,vsf,1 action,Medium (100 ft. + 10 ft./level),1 hour/level or until the character returns to the character's body,Will negates,Yes,,,
,,,,,,,,,1,Magic Missile,1d4+1 damage; +1 missile/two levels above 1st (max +5).,vs,1 action,Medium (100 ft. + 10 ft./level),Instantaneous,None,Yes,,,
,,,,2,,,,,2,Magic Mouth,Speaks once when triggered.,vsm,1 action,Close (25 ft. + 5 ft./2 levels),Permanent until discharged,Will negates,Yes,,,
,,,,,1,,,,,Magic Stone,"Three stones gain +1 attack, deal 1d6+1 damage.",vsd,1 action,Touch,30 minutes or until discharged,Will negates,Yes,,,
,,,,,3,,,,,Magic Vestment,Armor or shield gains +1 enhancement/three levels.,vsd,1 action,Touch,1 hour/level,Will negates,Yes,,,
,,,,1,1,,1,,1,Magic Weapon,Weapon gains +1 bonus.,vsfd,1 action,Touch,1 minute/level,Will negates,Yes,,,
,Conj,,,,,,,,5,Major Creation,"As minor creation, plus stone and metal.",vsm,10 minutes,Close (25 ft. + 5 ft./2 levels),See text,None,No,,,
,,,,3,,,,,3,Major Image,"As silent image, plus sound, smell and thermal effects.",vsf,1 action,Long (400 ft. + 40 ft./level),Concentration+3 rounds,Will disbelief,No,,,
,,,,,2,,,,,Make Whole,Repairs an object.,vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,Will negates,Yes,,,
,,,,,5,,,,,Mark of Justice,Designates action that will trigger curse on subject.,vsd,10 minutes,Touch,Permanent,None,Yes,,,
,,,,,,,,,8,Mass Charm,"As charm monster, but all within 30 ft.",v,1 action,Close (25 ft. + 5 ft./2 levels),1 day/level,Will negates,Yes,,,
,,,,6,,,,,6,Mass Haste,"As haste, affects one/level subjects.",vsm,1 action,Close (25 ft. + 5 ft./2 levels),1 round/level,Fortitude negates,Yes,,,
,,,,,8,9,,,,Mass Heal,"As heal, but with several subjects.",vs,1 action,Close (25 ft. + 5 ft./2 levels),Instantaneous,None,Yes,,,
,,,,,,,,,7,Mass Invisibility,"As invisibility, but affects all in range.",vsm,1 action,Long (400 ft. + 40 ft./level),10 minutes/level,None or Will negates,Y/N,,,
,,,,6,,,,,6,Mass Suggestion,"As suggestion, plus one/level subjects.",vm,1 action,Medium (100 ft. + 10 ft./level),1 hour/level or until completed,Will negates,Yes,,,
,Conj,,,,,,,,8,Maze,Traps subject in extradimensional maze.,vs,1 action,Close (25 ft. + 5 ft./2 levels),See text,None,No,,,
,,,,,3,3,,,,Meld into Stone,You and your gear merge with stone.,vsd,1 action,Personal,10 minutes/level,--,--,,,
